rank;page;category;title;link;rating;review_count;price
3;1;Best Sellers in Baby;Pampers Sensitive Baby Wipes, Water Based, Hypoallergenic and Unscented, 8 Flip-Top Packs, 4 Refill Packs (1008 Wipes Total);https://www.amazon.com/Pampers-Wipes-Sensitive-Perfume-Multi/dp/B0BJ13K7FR/ref=zg_bs_g_baby-products_d_sccl_3/145-8561872-7371915?psc=1;4.8 out of 5 stars;234,540;$33.99
1;1;Best Sellers in Beauty & Personal Care;Amazon Basics Cotton Swabs for Personal Hygiene and Baby Care, 500 Count, 1 Pack;https://www.amazon.com/Amazon-Basics-Cotton-Swabs-500ct/dp/B09541P9WH/ref=zg_bs_g_beauty_d_sccl_1/145-8561872-7371915?psc=1;4.7 out of 5 stars;62,106;$2.22
2;1;Best Sellers in Beauty & Personal Care;"Mighty Patch™ Original patch from Hero Cosmetics – The #1 Hydrocolloid Acne Pimple Patch for Shrinking Zits and Whiteheads in 1 use; Nighttime Spot Stickers for Face and Skin (36 Count)";https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_beauty_d_sccl_2/145-8561872-7371915?psc=1;4.6 out of 5 stars;178,036;$12.99
3;1;Best Sellers in Beauty & Personal Care;Medicube Zero Pore Pads 2.0, Dual-Textured Facial Toner Pads for Exfoliation and Pore Care with 4.5% AHA Lactic Acid & 0.45% BHA Salicylic Acid, Ideal for All Skin Types, Korean Skin Care (70 units);https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_beauty_d_sccl_3/145-8561872-7371915?psc=1;4.5 out of 5 stars;14,096;$18.90
1;1;Best Sellers in Books;Partypooper: A side-splitting birthday disaster from the #1 international bestselling Diary of a Wimpy Kid series (Book 20) (Volume 20);https://www.amazon.com/Partypooper-side-splitting-birthday-international-bestselling/dp/141978269X/ref=zg_bs_g_books_d_sccl_1/145-8561872-7371915?psc=1;4.5 out of 5 stars;68;$10.97
2;1;Best Sellers in Books;Nobody's Girl: A Memoir of Surviving Abuse and Fighting for Justice;https://www.amazon.com/Nobodys-Girl-Surviving-Fighting-Justice/dp/0593493125/ref=zg_bs_g_books_d_sccl_2/145-8561872-7371915?psc=1;4.6 out of 5 stars;108;$31.36
3;1;Best Sellers in Books;To Rescue the American Spirit: Teddy Roosevelt and the Birth of a Superpower (The Presidential Series);https://www.amazon.com/Rescue-American-Spirit-Superpower-Presidential/dp/0063360756/ref=zg_bs_g_books_d_sccl_3/145-8561872-7371915?psc=1;5.0 out of 5 stars;7;$23.09
1;1;Best Sellers in CDs & Vinyl;The Life of a Showgirl[Sweat & Vanilla Perfume Orange Glitter Vinyl];https://www.amazon.com/Showgirl-Vanilla-Perfume-Orange-Glitter/dp/B0FQMJWYMB/ref=zg_bs_g_music_d_sccl_1/145-8561872-7371915?psc=1;4.7 out of 5 stars;587;$29.99
2;1;Best Sellers in CDs & Vinyl;The Life of a Showgirl[Sweat & Vanilla Perfume CD with Poster];https://www.amazon.com/Showgirl-Sweat-Vanilla-Perfume-Poster/dp/B0FQN7BYT7/ref=zg_bs_g_music_d_sccl_2/145-8561872-7371915?psc=1;4.7 out of 5 stars;587;$12.99
3;1;Best Sellers in CDs & Vinyl;KPop Demon Hunters (Soundtrack from the Netflix Film);https://www.amazon.com/KPop-Demon-Hunters-Soundtrack-Netflix/dp/B0FFTRGLGG/ref=zg_bs_g_music_d_sccl_3/145-8561872-7371915?psc=1;4.6 out of 5 stars;566;$17.98
1;1;Best Sellers in Camera & Photo Products;20x50 High Powered Binoculars for Adults, Waterproof Compact Binoculars with Low Light Vision for Bird Watching Hunting Camping Travel Cruise Hiking Sports Stargazing, Christmas Birthday Gifts for Men;https://www.amazon.com/Binoculars-Waterproof-Watching-Football-Stargazing/dp/B0CJRTRRTG/ref=zg_bs_g_photo_d_sccl_1/145-8561872-7371915?psc=1;4.4 out of 5 stars;3,193;$28.78
2;1;Best Sellers in Camera & Photo Products;Occer 12x25 Compact Binoculars for Adults and Kids, Large Eyepiece Waterproof Binocular with Low Light Vision,High Powered Easy Focus Binoculars for Bird Watching,Outdoor Hunting,Travel,Sightseeing;https://www.amazon.com/Binoculars-Waterproof-Binocular-Traveling-Sightseeing/dp/B0756BXDTX/ref=zg_bs_g_photo_d_sccl_2/145-8561872-7371915?psc=1;4.4 out of 5 stars;32,299;$35.99
3;1;Best Sellers in Camera & Photo Products;Elikliv Microscope, LCD Digital Coin Microscope 1000x, Coin Magnifier with 8 Adjustable LED Lights, PC View Compatible with Windows/MacBook, EDM4, 4.3-Inch;https://www.amazon.com/Elikliv-Microscope-Endoscope-Magnification-Adjustable/dp/B07QB79SN6/ref=zg_bs_g_photo_d_sccl_3/145-8561872-7371915?psc=1;4.5 out of 5 stars;8,529;$36.99
1;1;Best Sellers in Cell Phones & Accessories;Ailun 3 Pack Screen Protector for iPhone 17 Pro Max [6.9 inch] + 3 Pack Camera Lens Protector with Installation Frame,Dynamic Island Compatible,Case Friendly[Not for iPhone 17/17 Pro/iPhone Air];https://www.amazon.com/Ailun-iPhone-Pro-Max-Installation/dp/B0FDQH511S/ref=zg_bs_g_wireless_d_sccl_1/145-8561872-7371915?psc=1;4.5 out of 5 stars;372,868;$8.98
2;1;Best Sellers in Cell Phones & Accessories;Ailun Screen Protector for iPhone 16 / iPhone 15 / iPhone 15 Pro [6.1 Inch] Display 3 Pack Tempered Glass, Dynamic Island Compatible, Case Friendly [Not for iPhone 16 Pro 6.3 Inch].;https://www.amazon.com/Ailun-iPhone-15-Protection-Compatible/dp/B0CCYM3F1V/ref=zg_bs_g_wireless_d_sccl_2/145-8561872-7371915?psc=1;4.6 out of 5 stars;1,083,898;$5.98
3;1;Best Sellers in Cell Phones & Accessories;SUPFINE Magnetic for iPhone 17 Pro Max Case (Compatible with MagSafe)(Military Grade Drop Protection) Translucent Matte Shockproof with Anti-Fingerprint Phone Cover 2025,Black;https://www.amazon.com/SUPFINE-Pro-Max-Case-Anti-Fingerprint/dp/B0FH655984/ref=zg_bs_g_wireless_d_sccl_3/145-8561872-7371915?psc=1;4.6 out of 5 stars;34,534;$9.99
1;1;Best Sellers in Clothing, Shoes & Jewelry;SZIVYSHI Corset Tops for Women, Bustier Shapewear Lingerie, Lace Waist Push Up Bodysuit;https://www.amazon.com/SZIVYSHI-Shapewear-Lingerie-Strapless-Victorian/dp/B00HB6MCSO/ref=zg_bs_g_fashion_d_sccl_1/145-8561872-7371915?psc=1;4.4 out of 5 stars;6,707;$26.99
2;1;Best Sellers in Clothing, Shoes & Jewelry;Hanes EcoSmart Hoodie, Midweight Fleece, Pullover Hooded Sweatshirt for Men;https://www.amazon.com/Hanes-Pullover-EcoSmart-Fleece-Hoodie/dp/B00JUM3G6E/ref=zg_bs_g_fashion_d_sccl_2/145-8561872-7371915?psc=1;4.5 out of 5 stars;160,949;$8.73
3;1;Best Sellers in Clothing, Shoes & Jewelry;COSUSKET Snug Fit Unisex Adult Onesie Pajamas, Flannel Cosplay Animal One Piece Halloween Costume Sleepwear Homewear;https://www.amazon.com/Pajamas-Halloween-Cosplay-Costume-Sullivan/dp/B097ZKJ1CT/ref=zg_bs_g_fashion_d_sccl_3/145-8561872-7371915?psc=1;4.7 out of 5 stars;7,579;$32.99
1;1;Best Sellers in Collectible Coins;2025 - American Silver Eagle .999 Fine Silver with our Smyrnacoin Certificate of Authenticity Dollar Uncirculated US Mint;https://www.amazon.com/2024-American-Certificate-Authenticity-Uncirculated/dp/B0CQN17539/ref=zg_bs_g_coins_d_sccl_1/145-8561872-7371915?psc=1;4.8 out of 5 stars;248;$78.99
2;1;Best Sellers in Collectible Coins;Unsearched Wheat Penny Roll w/Silver Mercury Dime End Old Us Coin Shotgun Lot Mixed Years Circulated Vintage Collector;https://www.amazon.com/Unsearched-Mercury-Coin-Circulated-Collector/dp/B07RZ4DJLL/ref=zg_bs_g_coins_d_sccl_2/145-8561872-7371915?psc=1;3.7 out of 5 stars;1,449;$13.26
3;1;Best Sellers in Collectible Coins;"USMC 250th Anniversary Commemorative – Navy 250th Anniversary Coin, Double-Sided Marine Corps Challenge Coin with Metal Gift Box – Collectible Gift for Veterans, Marines, Patriots – 1.57""";https://www.amazon.com/USMC-250th-Anniversary-Commemorative-Double-Sided/dp/B0FDKZ2CTT/ref=zg_bs_g_coins_d_sccl_3/145-8561872-7371915?psc=1;4.5 out of 5 stars;51;$18.99
1;1;Best Sellers in Computers & Accessories;Anker USB C Hub, 5-in-1 USBC to HDMI Splitter with 4K Display, 1 x Powered USB-C 5Gbps & 2×Powered USB-A 3.0 5Gbps Data Ports for MacBook Pro, MacBook Air, Dell and More;https://www.amazon.com/Anker-Display-MacBook-Thinkpad-Laptops/dp/B0BQLLB61B/ref=zg_bs_g_pc_d_sccl_1/145-8561872-7371915?psc=1;4.4 out of 5 stars;14,578;$18.99
2;1;Best Sellers in Computers & Accessories;"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black";https://www.amazon.com/Amazon_Fire_HD_10/dp/B0BHZT5S12/ref=zg_bs_g_pc_d_sccl_2/145-8561872-7371915?psc=1;4.5 out of 5 stars;33,867;$139.99
3;1;Best Sellers in Computers & Accessories;"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight";https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZD9S5GC/ref=zg_bs_g_pc_d_sccl_3/145-8561872-7371915?psc=1;4.8 out of 5 stars;3,399;$832.99
1;1;Best Sellers in Electronics;Blink Subscription Plus Plan with monthly auto-renewal;https://www.amazon.com/Blink-Plus-Plan-monthly-auto-renewal/dp/B08JHCVHTY/ref=zg_bs_g_electronics_d_sccl_1/145-8561872-7371915?psc=1;4.4 out of 5 stars;263,260;$11.99
2;1;Best Sellers in Electronics;Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume;https://www.amazon.com/Apple-EarPods-Headphones-Built-Control/dp/B0DCH8VDXF/ref=zg_bs_g_electronics_d_sccl_2/145-8561872-7371915?psc=1;4.6 out of 5 stars;18,454;$14.44
3;1;Best Sellers in Electronics;Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming;https://www.amazon.com/amazon-fire-tv-stick-hd/dp/B0CQMRKRV5/ref=zg_bs_g_electronics_d_sccl_3/145-8561872-7371915?psc=1;4.7 out of 5 stars;43,186;$19.99
1;1;Best Sellers in Entertainment Collectibles;PYAJUU Stray Kids Laser Photocard 50pcs Stray Kids Laser Card Kpop Stray Kids LOMO Cards Kpop Straykids 5-Strar Album Card Stray Kids Photo Cards 5-Star Postcard Gift for Fans Daugher;https://www.amazon.com/Photocard-Straykids-5-Strar-Postcard-Daugher/dp/B0CD7C12L2/ref=zg_bs_g_entertainment-collectibles_d_sccl_1/145-8561872-7371915?psc=1;4.7 out of 5 stars;313;$9.29
2;1;Best Sellers in Entertainment Collectibles;Star Wars 2023 Topps Value Box | 10 Packs Per Box;https://www.amazon.com/Star-Wars-Topps-Value-Packs/dp/B0CF9VZKL4/ref=zg_bs_g_entertainment-collectibles_d_sccl_2/145-8561872-7371915?psc=1;4.4 out of 5 stars;63;$44.99
3;1;Best Sellers in Entertainment Collectibles;Trump Trading Card - Assasination Attempt- Gem 10 Graded - Trump Collectible Card - Trump Gifts - Trump 2024 - Make America Great Again;https://www.amazon.com/Trump-Trading-Card-Assasination-Collectible/dp/B0D9QRC5TZ/ref=zg_bs_g_entertainment-collectibles_d_sccl_3/145-8561872-7371915?psc=1;4.8 out of 5 stars;85;$12.99
1;1;Best Sellers in Gift Cards;Amazon Gift Card Balance Reload;https://www.amazon.com/Amazon-com-Gift-Card-Balance-Reload/dp/B0CHTKNWBL/ref=zg_bs_g_gift-cards_d_sccl_1/145-8561872-7371915?psc=1;4.7 out of 5 stars;532,838;$25.00
2;1;Best Sellers in Gift Cards;Amazon eGift Card - Greetings - (Instant Email or Text Delivery);https://www.amazon.com/Amazon-eGift-Card-Happy-Birthday/dp/B0FLDMPWBR/ref=zg_bs_g_gift-cards_d_sccl_2/145-8561872-7371915?psc=1;4.9 out of 5 stars;354;$50.00
3;1;Best Sellers in Gift Cards;Amazon eGift Card - (Instant Email or Text Delivery);https://www.amazon.com/Amazon-eGift-Card-Logo-Animated/dp/B07PCMWTSG/ref=zg_bs_g_gift-cards_d_sccl_3/145-8561872-7371915?psc=1;4.8 out of 5 stars;342,640;$50.00
1;1;Best Sellers in Grocery & Gourmet Food;CELSIUS Sparkling Orange, Functional Essential Energy Drink 12 Fl Oz (Pack of 12);https://www.amazon.com/CELSIUS-Sparkling-Orange-Fitness-Drink/dp/B007R8XGJA/ref=zg_bs_g_grocery_d_sccl_1/145-8561872-7371915?psc=1;4.6 out of 5 stars;96,018;$14.04
2;1;Best Sellers in Grocery & Gourmet Food;Nespresso Capsules Vertuo, Variety Pack, Medium and Dark Roast Coffee, 30 Count Coffee Pods, Brews 7.8 oz.;https://www.amazon.com/Nespresso-Vertuoline-Seller-Assortment-Count/dp/B01N05APQY/ref=zg_bs_g_grocery_d_sccl_2/145-8561872-7371915?psc=1;4.8 out of 5 stars;123,431;$42.00
3;1;Best Sellers in Grocery & Gourmet Food;Premier Protein Shake, Chocolate, 30g Protein 1g Sugar 24 Vitamins Minerals Nutrients to Support Immune Health, 11.5 fl oz (Pack of 12);https://www.amazon.com/Premier-Protein-Shake-Chocolate-11-5/dp/B07MJL8NXR/ref=zg_bs_g_grocery_d_sccl_3/145-8561872-7371915?psc=1;4.6 out of 5 stars;249,884;$25.70
1;1;Best Sellers in Handmade Products;Hearth and Homestead: Handmade Whipped Tallow Balm (Unscented/Herb-Infused) - Organic Body Butter with Infused Olive Oil, for Eczema, Rosacea, Baby - 1.3 oz;https://www.amazon.com/Hearth-Homestead-Handmade-Whipped-Unscented/dp/B0BJMSH4JX/ref=zg_bs_g_handmade_d_sccl_1/145-8561872-7371915?psc=1;4.7 out of 5 stars;10,650;$29.99
2;1;Best Sellers in Handmade Products;Sereney Birthday Gifts for Girls, Beaded Bracelets as 1 3 4 5 6 7 8 9 10 11 12 13 15 16 Year Old Birthday Gift, Adjustable Stone/Pearl Bracelet as Happy Birthday Gifts for Daughter Granddaughter Niece;https://www.amazon.com/Sereney-Birthday-Adjustable-Bracelets-Granddaughter/dp/B0D7BG2XS8/ref=zg_bs_g_handmade_d_sccl_2/145-8561872-7371915?psc=1;4.8 out of 5 stars;1,576;$9.99
3;1;Best Sellers in Handmade Products;Sweet Water Decor Cozy Season Soy Candles - Fall Candles with Woods, Warm Spice, and Citrus Scent for Home Decor - Soy Candle with 40 Hours Burn Time - 9Oz Black Lid Amber Jar Candles Fall Scents;https://www.amazon.com/Sweet-Water-Decor-Scented-Candles/dp/B0CBD113LF/ref=zg_bs_g_handmade_d_sccl_3/145-8561872-7371915?psc=1;4.4 out of 5 stars;1,414;$19.99
1;1;Best Sellers in Health & Household;Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life;https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-Count/dp/B00MNV8E0C/ref=zg_bs_g_hpc_d_sccl_1/145-8561872-7371915?psc=1;4.7 out of 5 stars;875,456;$14.99
2;1;Best Sellers in Health & Household;Bounty Quick Size Paper Towels, White, 8 Family Rolls = 20 Regular Rolls (Packaging May Vary);https://www.amazon.com/Bounty-Quick-Size-Towels-Family-Regular/dp/B07MHJFRBJ/ref=zg_bs_g_hpc_d_sccl_2/145-8561872-7371915?psc=1;4.8 out of 5 stars;289,129;$24.42
3;1;Best Sellers in Health & Household;Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue;https://www.amazon.com/Scott-Comfortplus-Toilet-Tissue-Double/dp/B07BGLT25K/ref=zg_bs_g_hpc_d_sccl_3/145-8561872-7371915?psc=1;4.5 out of 5 stars;110,904;$6.49
1;1;Best Sellers in Home & Kitchen;Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Denim;https://www.amazon.com/Owala-FreeSip-Insulated-Stainless-BPA-Free/dp/B0BZYCJK89/ref=zg_bs_g_home-garden_d_sccl_1/145-8561872-7371915?psc=1;4.7 out of 5 stars;92,749;$29.99
2;1;Best Sellers in Home & Kitchen;Queen Size 4 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids & Teens - Deep Pockets, Easy Secure Fit, Soft and Wrinkle Free - Oeko-Tex - White;https://www.amazon.com/Queen-Size-Piece-Sheet-Set/dp/B01M16WBW1/ref=zg_bs_g_home-garden_d_sccl_2/145-8561872-7371915?psc=1;4.4 out of 5 stars;407,175;$24.99
3;1;Best Sellers in Home & Kitchen;Barossa Design Plastic Shower Liner Clear - Premium PEVA Shower Curtain Liner with Rustproof Grommets and 3 Magnets, Waterproof Cute Lightweight Standard Size Bathroom Curtains - Clear;https://www.amazon.com/Plastic-Shower-Liner-Clear-Chemical/dp/B08QRFZ6TH/ref=zg_bs_g_home-garden_d_sccl_3/145-8561872-7371915?psc=1;4.5 out of 5 stars;86,785;$8.95
1;1;Best Sellers in Industrial & Scientific;MedPride Powder-Free Nitrile Exam Gloves, Iris Blue, Medium, Box/100;https://www.amazon.com/MedPride-Powder-Free-Nitrile-Gloves-Medium/dp/B00GS8W3T4/ref=zg_bs_g_industrial_d_sccl_1/145-8561872-7371915?psc=1;4.7 out of 5 stars;100,802;$9.99
2;1;Best Sellers in Industrial & Scientific;Supmedic Medical Soft Max™ Nitrile Exam Gloves, 100 Count Latex-Free Powder-Free Non-Sterile Food Safe Disposable Glove, Blue;https://www.amazon.com/Supmedic-Nitrile-Disposable-Powder-Free-Latex-Free/dp/B0C9S5PMSD/ref=zg_bs_g_industrial_d_sccl_2/145-8561872-7371915?psc=1;4.7 out of 5 stars;19,221;$7.81
