rank,page,category,category_full,cat_level_1,cat_level_2,title,asin,link,rating,review_count,price_raw,price_norm,price_segment,review_density,norm_review_density,scraped_at
2,1,Best Sellers in Computers & Accessories,Computers & Accessories,Computers,Accessories,"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black",B0BHZT5S12,https://www.amazon.com/Amazon_Fire_HD_10/dp/B0BHZT5S12/ref=zg_bs_g_pc_d_sccl_2/145-8561872-7371915?psc=1,4.5,33867.0,$139.99,139.99,High,16933.5,1.0,2025-10-25
3,1,Best Sellers in Computers & Accessories,Computers & Accessories,Computers,Accessories,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",B0DZD9S5GC,https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZD9S5GC/ref=zg_bs_g_pc_d_sccl_3/145-8561872-7371915?psc=1,4.8,3399.0,$832.99,832.99,High,1133.0,0.0668804028715694,2025-10-25
1,1,Best Sellers in Electronics,Electronics,Electronics,,Blink Subscription Plus Plan with monthly auto-renewal,B08JHCVHTY,https://www.amazon.com/Blink-Plus-Plan-monthly-auto-renewal/dp/B08JHCVHTY/ref=zg_bs_g_electronics_d_sccl_1/145-8561872-7371915?psc=1,4.4,263260.0,$11.99,11.99,Low,263260.0,1.0,2025-10-25
2,1,Best Sellers in Electronics,Electronics,Electronics,,"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",B0DCH8VDXF,https://www.amazon.com/Apple-EarPods-Headphones-Built-Control/dp/B0DCH8VDXF/ref=zg_bs_g_electronics_d_sccl_2/145-8561872-7371915?psc=1,4.6,18454.0,$14.44,14.44,Mid,9227.0,0.0350398764158028,2025-10-25
3,1,Best Sellers in Electronics,Electronics,Electronics,,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",B0CQMRKRV5,https://www.amazon.com/amazon-fire-tv-stick-hd/dp/B0CQMRKRV5/ref=zg_bs_g_electronics_d_sccl_3/145-8561872-7371915?psc=1,4.7,43186.0,$19.99,19.99,Mid,14395.333333333334,0.0546721114878512,2025-10-25
1,1,Best Sellers in Entertainment Collectibles,Entertainment Collectibles,Entertainment Collectibles,,PYAJUU Stray Kids Laser Photocard 50pcs Stray Kids Laser Card Kpop Stray Kids LOMO Cards Kpop Straykids 5-Strar Album Card Stray Kids Photo Cards 5-Star Postcard Gift for Fans Daugher,B0CD7C12L2,https://www.amazon.com/Photocard-Straykids-5-Strar-Postcard-Daugher/dp/B0CD7C12L2/ref=zg_bs_g_entertainment-collectibles_d_sccl_1/145-8561872-7371915?psc=1,4.7,313.0,$9.29,9.29,Mid,313.0,1.0,2025-10-25
2,1,Best Sellers in Entertainment Collectibles,Entertainment Collectibles,Entertainment Collectibles,,Star Wars 2023 Topps Value Box | 10 Packs Per Box,B0CF9VZKL4,https://www.amazon.com/Star-Wars-Topps-Value-Packs/dp/B0CF9VZKL4/ref=zg_bs_g_entertainment-collectibles_d_sccl_2/145-8561872-7371915?psc=1,4.4,63.0,$44.99,44.99,High,31.5,0.1006090458282024,2025-10-25
3,1,Best Sellers in Entertainment Collectibles,Entertainment Collectibles,Entertainment Collectibles,,Trump Trading Card - Assasination Attempt- Gem 10 Graded - Trump Collectible Card - Trump Gifts - Trump 2024 - Make America Great Again,B0D9QRC5TZ,https://www.amazon.com/Trump-Trading-Card-Assasination-Collectible/dp/B0D9QRC5TZ/ref=zg_bs_g_entertainment-collectibles_d_sccl_3/145-8561872-7371915?psc=1,4.8,85.0,$12.99,12.99,Mid,28.33333333333333,0.0904915632176257,2025-10-25
1,1,Best Sellers in Gift Cards,Gift Cards,Gift Cards,,Amazon Gift Card Balance Reload,B0CHTKNWBL,https://www.amazon.com/Amazon-com-Gift-Card-Balance-Reload/dp/B0CHTKNWBL/ref=zg_bs_g_gift-cards_d_sccl_1/145-8561872-7371915?psc=1,4.7,532838.0,$25.00,25.0,Low,532838.0,1.0,2025-10-25
2,1,Best Sellers in Gift Cards,Gift Cards,Gift Cards,,Amazon eGift Card - Greetings - (Instant Email or Text Delivery),B0FLDMPWBR,https://www.amazon.com/Amazon-eGift-Card-Happy-Birthday/dp/B0FLDMPWBR/ref=zg_bs_g_gift-cards_d_sccl_2/145-8561872-7371915?psc=1,4.9,354.0,$50.00,50.0,Mid,177.0,0.0003310322589038,2025-10-25
3,1,Best Sellers in Gift Cards,Gift Cards,Gift Cards,,Amazon eGift Card - (Instant Email or Text Delivery),B07PCMWTSG,https://www.amazon.com/Amazon-eGift-Card-Logo-Animated/dp/B07PCMWTSG/ref=zg_bs_g_gift-cards_d_sccl_3/145-8561872-7371915?psc=1,4.8,342640.0,$50.00,50.0,Mid,114213.33333333331,0.214348171918674,2025-10-25
