rank;page;category;title;link;rating;review_count;price;move_%;sales_rank_now;sales_rank_was
1;1;Movers & Shakers in Clothing, Shoes & Jewelry;SHAPERX Women's Shapewear Bodysuit Tummy Control Body Shaper Seamless Sculpting Snatched Waist Body Suit;https://www.amazon.com/SHAPERX-Shapewear-Sculpting-SZ5215-Black-XXS-XS/dp/B0B1LVKJ4Q/ref=zg_bsms_g_fashion_d_sccl_1/136-5094779-5527625?psc=1;4.1 out of 5 stars;44,497;$28.76 (converted);88.0;63.0;119.0
2;1;Movers & Shakers in Clothing, Shoes & Jewelry;BGOKTA Halloween Animal Onesie Pajamas for Adults Costume Cosplay Homewear One Piece;https://www.amazon.com/BGOKTA-Halloween-Pajamas-Costume-Homewear/dp/B0DDPZL518/ref=zg_bsms_g_fashion_d_sccl_2/136-5094779-5527625?psc=1;4.5 out of 5 stars;2,752;$29.87 (converted);65.0;322.0;532.0
3;1;Movers & Shakers in Clothing, Shoes & Jewelry;Sun-Staches Official Minions Goggles | Minions Costume Glasses | One Size Fits Most;https://www.amazon.com/Sun-Staches-Comfortable-Accessory-Halloween-Officially/dp/B0FK7CJVTZ/ref=zg_bsms_g_fashion_d_sccl_3/136-5094779-5527625?psc=1;4.5 out of 5 stars;1,966;$11.94 (converted);60.0;368.0;589.0
1;1;Movers & Shakers in Collectible Coins;Peace Dollar Antique Silver Coins, U.S. Ancient Coin Collection, American Lucky Coin, Old Coins for Collectors, Commemorative Silver Dollars Coin Set (1921 Peace Dollar);https://www.amazon.com/Antique-Collection-American-Collectors-Commemorative/dp/B0FRYV55V8/ref=zg_bsms_g_coins_d_sccl_1/136-5094779-5527625?psc=1;;;$32.37 (converted);;;
2;1;Movers & Shakers in Collectible Coins;1904 -1914 Kaiser Era German 5 Pfennig Coin. Issued Under Kaiser Wilhelm II From Prussia, An Empire That Started World War 1 WW1. 5 Pfennig, Monetized And Guaranteed By The German Government. Graded By Seller. Circulated Condition;https://www.amazon.com/Monetized-Guaranteed-Government-Circulated-Condition/dp/B0D57C57P7/ref=zg_bsms_g_coins_d_sccl_2/136-5094779-5527625?psc=1;4.8 out of 5 stars;13;$4.97 (converted);740.0;179.0;
3;1;Movers & Shakers in Collectible Coins;The US Navy Military Challenge Coin Pays Tribute to Our Navy Veterans;https://www.amazon.com/Navy-Military-Challenge-Tribute-Veterans/dp/B0FM7Z2GCD/ref=zg_bsms_g_coins_d_sccl_3/136-5094779-5527625?psc=1;2.5 out of 5 stars;2;$9.95 (converted);713.0;187.0;
1;1;Movers & Shakers in Computers & Accessories;TOCOL for Samsung Galaxy S22 Ultra Case, Translucent Matte Hard Back [Military Grade Shockproof] [Anti-Scratch & Anti-Fingerprint] Slim Fit Protective Cover for Galaxy S22 Ultra Case 6.8'', Clear;https://www.amazon.com/TOCOL-Samsung-Galaxy-Ultra-Anti-Fingerprint/dp/B09PB7DHKZ/ref=zg_bsms_g_pc_d_sccl_1/136-5094779-5527625?psc=1;4.4 out of 5 stars;13,276;$14.93 (converted);;;
2;1;Movers & Shakers in Computers & Accessories;"HP 24 Touchscreen All-in-One Desktop Computer for Home and School, Intel Processor (Beat i3-1110G4), 23.8"" FHD Display, 16GB DDR4 RAM, 512GB PCIe SSD, WiFi 6, Bluetooth, Business AIO, Windows 11 Pro";https://www.amazon.com/HP-Touchscreen-Processor-i3-1110G4-Bluetooth/dp/B0FRGD7F7F/ref=zg_bsms_g_pc_d_sccl_2/136-5094779-5527625?psc=1;4.5 out of 5 stars;3,294;$49.80 (converted);;;
3;1;Movers & Shakers in Computers & Accessories;"HP 14"" Laptop, 1 Year Office 365&AI-Copilot, Intel Processor N150(up to 3.6 GHz), 4G RAM, 256GB Storage (128GB UFS + 128GB Docking Station Set), Long Battery Life, WiFi 6, Windows 11 S, Silver";https://www.amazon.com/HP-14-AI-Copilot-Processor-Storage/dp/B0FR8FTK5Z/ref=zg_bsms_g_pc_d_sccl_3/136-5094779-5527625?psc=1;4.5 out of 5 stars;1,154;$278.91 (converted);;;
1;1;Movers & Shakers in Electronics;2 Pack Surge Protector, 5 Outlets Extender with 4 USB Ports(USB C), 3-Side 1680J Power Strip Multi Plug Outlet Expander, USB Wall Charger, Outlet Splitter Adapter Wall Mount for Home Office ETL Listed;https://www.amazon.com/Protector-Outlets-Extender-Expander-Splitter/dp/B0FGQBZKYL/ref=zg_bsms_g_electronics_d_sccl_1/136-5094779-5527625?psc=1;4.7 out of 5 stars;7,855;$12.94 (converted);142.0;164.0;398.0
2;1;Movers & Shakers in Electronics;Travel Power Strip, ORICO 4 Outlets 3 USB Ports (1 USB C) with 4FT Wrapped Short Extension Cord Small Power Strip, Compact for Hotel Travel Essentials Cruise Approved-AP3;https://www.amazon.com/ORICO-Outlets-Extension-Essentials-Approved-Black/dp/B0CB2W8LQ7/ref=zg_bsms_g_electronics_d_sccl_2/136-5094779-5527625?psc=1;4.8 out of 5 stars;817;$21.90 (converted);125.0;266.0;601.0
3;1;Movers & Shakers in Electronics;Szwdo Wireless Earbuds, ENC Noise Cancelling Ear Buds with Smart Touchscreen Case, 48H Playtime for Sports & Working, Bass Stereo Sound, Bluetooth 5.4 Headphones for iPhone 17/16/15/14/13/Android;https://www.amazon.com/Szwdo-Cancelling-Touchscreen-Bluetooth-Headphones/dp/B0FLQBWXQ8/ref=zg_bsms_g_electronics_d_sccl_3/136-5094779-5527625?psc=1;4.8 out of 5 stars;1,302;$38.84 (converted);117.0;397.0;863.0
1;1;Movers & Shakers in Entertainment Collectibles;Playboy 2003 Edition Playmate of the Year Collector Cards Pack;https://www.amazon.com/Playboy-2003-Playmate-Collector-Cards/dp/B0FRYVFWSN/ref=zg_bsms_g_entertainment-collectibles_d_sccl_1/136-5094779-5527625?psc=1;;;$7.92 (converted);;;
2;1;Movers & Shakers in Entertainment Collectibles;"Captain Planet and the Planeteers (Dynamite) #4A VF/NM ; Dynamite comic book";https://www.amazon.com/Captain-Planet-Planeteers-Dynamite-comic/dp/B0FQKNFWRV/ref=zg_bsms_g_entertainment-collectibles_d_sccl_2/136-5094779-5527625?psc=1;;;$6.96 (converted);;;
3;1;Movers & Shakers in Entertainment Collectibles;"Wolverines and Deadpools #2 VF/NM ; Marvel comic book | Wolverine Deadpool Laura Kinney";https://www.amazon.com/Wolverines-Deadpools-Marvel-Wolverine-Deadpool/dp/B0FMGKGKDY/ref=zg_bsms_g_entertainment-collectibles_d_sccl_3/136-5094779-5527625?psc=1;;;$6.96 (converted);;;
1;1;Movers & Shakers in Gift Cards;Nintendo eShop Gift Card;https://www.amazon.com/Nintendo-America-Posa-Gift-Card/dp/B07ZQZ4MGR/ref=zg_bsms_g_gift-cards_d_sccl_1/136-5094779-5527625?psc=1;4.8 out of 5 stars;891;$34.86 (converted);12.0;170.0;191.0
2;1;Movers & Shakers in Gift Cards;Bloomin Brands Inc. Outback Steakhouse Multibrand Restaurant Gift Card;https://www.amazon.com/Bloomin-Multibrand-Gift-Card-100/dp/B08JJF1F6Z/ref=zg_bsms_g_gift-cards_d_sccl_2/136-5094779-5527625?psc=1;4.8 out of 5 stars;496;$24.90 (converted);9.0;252.0;276.0
3;1;Movers & Shakers in Gift Cards;SUBWAY Gift Card;https://www.amazon.com/SUBWAY-VariableDenomination-Gift-Card/dp/B0CHMDX1ZW/ref=zg_bsms_g_gift-cards_d_sccl_3/136-5094779-5527625?psc=1;4.7 out of 5 stars;55;$24.90 (converted);7.0;289.0;311.0
1;1;Movers & Shakers in Grocery & Gourmet Food;Coke Zero Sugar Diet Soda Soft Drink, 16.9 fl oz, 6 Pack;https://www.amazon.com/Coca-Cola-Zero-Sugar-16-9-Pack/dp/B00FU1YIEI/ref=zg_bsms_g_grocery_d_sccl_1/136-5094779-5527625?psc=1;4.6 out of 5 stars;5,680;$3.96 (converted);62.0;254.0;414.0
2;1;Movers & Shakers in Grocery & Gourmet Food;Red Raspberries, 6 oz;https://www.amazon.com/Fresh-Produce-Brands-May-Vary/dp/B000P6G12U/ref=zg_bsms_g_grocery_d_sccl_2/136-5094779-5527625?psc=1;4.6 out of 5 stars;31,823;;41.0;90.0;127.0
3;1;Movers & Shakers in Grocery & Gourmet Food;Banana Bunch (4-5 Count);https://www.amazon.com/Dole-Banana-Bunch-4-5-Count/dp/B07ZLFPXHC/ref=zg_bsms_g_grocery_d_sccl_3/136-5094779-5527625?psc=1;4.5 out of 5 stars;66,524;$0.99 (converted);38.0;13.0;18.0
1;1;Movers & Shakers in Handmade Products;Crystal Vibe African Turquoise Bracelet for Good Luck and Prosperity - Attract Positive Energy and Promote Overall Well-being - 8mm Beaded Bracelet for Spiritual Growth - Elastic Adjustable Size;https://www.amazon.com/Crystal-Vibe-Turquoise-Bracelet-Prosperity/dp/B0DD3VWLSG/ref=zg_bsms_g_handmade_d_sccl_1/136-5094779-5527625?psc=1;4.5 out of 5 stars;1,702;$25.89 (converted);;;
2;1;Movers & Shakers in Handmade Products;Large 1.25-2.0” Natural Aquamarine Raw Crystal Stone,Healing Gemstone for Reiki, Chakra Balancing, Meditation & Crystal Collection – Raw Aquamarine Mineral for Calmness, Clarity & Inner Peace;https://www.amazon.com/1-25-2-0-Aquamarine-Balancing-Meditation-Collection/dp/B0FHKRMBQV/ref=zg_bsms_g_handmade_d_sccl_2/136-5094779-5527625?psc=1;4.3 out of 5 stars;234;$5.97 (converted);;;
3;1;Movers & Shakers in Handmade Products;Brevynx Handmade 25Pcs Pocket Wooden Cross Fidget in bulk with Organza Bags - Stress Relief Cross My Heart for Christian, Religious Easter Day Gifts;https://www.amazon.com/Handmade-25Pcs-Wooden-Cross-Fidget/dp/B0DXKJ5KZD/ref=zg_bsms_g_handmade_d_sccl_3/136-5094779-5527625?psc=1;4.8 out of 5 stars;214;$39.84 (converted);210.0;147.0;456.0
1;1;Movers & Shakers in Health & Household;Energizer MAX 9V Batteries (2 Pack), 9 Volt Alkaline Batteries - Packaging May Vary;https://www.amazon.com/Energizer-Alkaline-Volt-Battery-2-Count/dp/B004R16728/ref=zg_bsms_g_hpc_d_sccl_1/136-5094779-5527625?psc=1;4.8 out of 5 stars;24,282;$7.36 (converted);;;
2;1;Movers & Shakers in Health & Household;Energizer A23 Batteries, A23 Battery Alkaline, 2 Count;https://www.amazon.com/Energizer-Mercury-Alkaline-Batteries-Packaging/dp/B00004YK10/ref=zg_bsms_g_hpc_d_sccl_2/136-5094779-5527625?psc=1;4.8 out of 5 stars;41,203;$5.26 (converted);;;
3;1;Movers & Shakers in Health & Household;"Silicone Scar Sheets,Silicone Scar Tape,Silicone Scar Removal Strips for Surgical,C-Section,Tummy Tuck,Keloid Scars (1.6""X 59"" Roll-1.5M) Keloid Bump Removal";https://www.amazon.com/Silicone-Surgical-Removal-C-Section-Roll-1-5M/dp/B0D8J5SV3C/ref=zg_bsms_g_hpc_d_sccl_3/136-5094779-5527625?psc=1;4.4 out of 5 stars;6,097;$9.84 (converted);;;
1;1;Movers & Shakers in Home & Kitchen;GORILLA GRIP Patented Square Shower Stall Mat, Small Bathtub Floor Mats for Stand Up Showers, Suction Cups and Drainage Holes, Machine Wash, Soft on Feet, Bathroom Accessories 21x21 Inch, Beige Opaque;https://www.amazon.com/Gorilla-Grip-Shower-Stall-Mat/dp/B0BDNTTFC1/ref=zg_bsms_g_home-garden_d_sccl_1/136-5094779-5527625?psc=1;4.5 out of 5 stars;107,472;$21.90 (converted);;;
2;1;Movers & Shakers in Home & Kitchen;2 Pack Air Purifiers For Home Bedroom, Honeyuan H13 HEPA Air purifier with 360°Air Intake, Coverage up to 650ft², 3 Fan Speeds, Low to 24dB;https://www.amazon.com/Purifiers-Honeyuan-purifier-Coverage-Filtration/dp/B0C26WN2XN/ref=zg_bsms_g_home-garden_d_sccl_2/136-5094779-5527625?psc=1;4.4 out of 5 stars;2,748;$27.88 (converted);;;
