rank,page,category,category_full,cat_level_1,cat_level_2,title,asin,link,rating,review_count,price_raw,price_norm,price_segment,move_pct,sales_rank_now,sales_rank_was,sales_rank_change,sales_rank_change_abs,move_direction,review_density,norm_review_density,scraped_at
1,1,"Movers & Shakers in Arts, Crafts & Sewing","Arts, Crafts & Sewing",Arts,Crafts,"BOBISUKA Halloween Makeup Fake Blood Kit- Washable Dark Spray + Fresh Dripping + Blood Thick Gel, Blood Capsule, Stipple Sponge & Soap, Realistic Scar Tattoo for SFX Zombie Clown Mouth Clothes",B0FGJ2C6VN,https://www.amazon.com/BOBISUKA-Halloween-Washable-Dripping-Realistic/dp/B0FGJ2C6VN/ref=zg_bsms_g_arts-crafts_d_sccl_1/136-5094779-5527625?psc=1,4.4,166.0,$3.97 (converted),3.97,Low,,,,,,,166.0,0.0943635162289527,2025-10-25
2,1,"Movers & Shakers in Arts, Crafts & Sewing","Arts, Crafts & Sewing",Arts,Crafts,"Stocking Stuffers for Kids, Outline Glitter Markers, Stocking Stuffers for Teen Girl Gifts Trendy Stuff, 12 Shimmer Markers Outline Pens for Art Supplies for Kids 9-12, Gifts for 4-12 Year Old Girls",B0D127HCT4,https://www.amazon.com/Stocking-Stuffers-Shimmer-Metallic-Supplies/dp/B0D127HCT4/ref=zg_bsms_g_arts-crafts_d_sccl_2/136-5094779-5527625?psc=1,4.5,351.0,$7.96 (converted),7.96,Mid,583.0,247.0,,,,,175.5,0.0997972678405374,2025-10-25
3,1,"Movers & Shakers in Arts, Crafts & Sewing","Arts, Crafts & Sewing",Arts,Crafts,"Cool Maker, PopStyle Expansion Pack, Bracelet Making Kit, over 50 Gem Beads, Makes 3 (Packaging May Vary), Arts and Crafts Kids Toys for Ages 7 and up",B0CCW5WRJC,https://www.amazon.com/Cool-Maker-Expansion-Friendship-Bracelets/dp/B0CCW5WRJC/ref=zg_bsms_g_arts-crafts_d_sccl_3/136-5094779-5527625?psc=1,4.6,1201.0,$8.90 (converted),8.9,Mid,288.0,53.0,206.0,153.0,153.0,up,400.3333333333333,0.2283960559813742,2025-10-25
1,1,Movers & Shakers in Audible Books & Originals,Audible Books & Originals,Audible Books,Originals,"The Empire of Gold: A Novel: The Daevabad Trilogy, Book 3",B07YN67PGX,https://www.amazon.com/Empire-Gold-Novel/dp/B07YN67PGX/ref=zg_bsms_g_audible_d_sccl_1/136-5094779-5527625?isALC=true,4.7,9530.0,$38.43 (converted),38.43,High,,,,,,,9530.0,0.1294011250867085,2025-10-25
2,1,Movers & Shakers in Audible Books & Originals,Audible Books & Originals,Audible Books,Originals,Harry Potter and the Sorcerer’s Stone (Full-Cast Edition),B0F14PDX2Z,https://www.amazon.com/Harry-Potter-Sorcerers-Stone-Full-Cast/dp/B0F14PDX2Z/ref=zg_bsms_g_audible_d_sccl_2/136-5094779-5527625?isALC=true,4.8,147293.0,$29.87 (converted),29.87,Mid,266.0,3.0,11.0,8.0,8.0,up,73646.5,1.0,2025-10-25
3,1,Movers & Shakers in Audible Books & Originals,Audible Books & Originals,Audible Books,Originals,Exit Strategy: A Reacher Novel,B0DTZ59K83,https://www.amazon.com/Exit-Strategy-A-Reacher-Novel/dp/B0DTZ59K83/ref=zg_bsms_g_audible_d_sccl_3/136-5094779-5527625?isALC=true,,,$19.61 (converted),19.61,Mid,191.0,234.0,681.0,447.0,447.0,up,,,2025-10-25
1,1,Movers & Shakers in Automotive,Automotive,Automotive,,"Termitor D1S Xenon HID Headlights Bulbs, 400% Enhanced Brightness, 6000K Cool White High/Low Beam, Replacement 66144 66140 85140 85415, IP68 with Metal Base, Plug and Play, Pack of 2",B0F26GJS6T,https://www.amazon.com/Termitor-D1S-Headlights-Brightness-Replacement/dp/B0F26GJS6T/ref=zg_bsms_g_automotive_d_sccl_1/136-5094779-5527625?psc=1,4.4,1982.0,$19.91 (converted),19.91,Mid,,,,,,,1982.0,0.2959195242283268,2025-10-25
2,1,Movers & Shakers in Automotive,Automotive,Automotive,,"Termitor Latest H4/9003/HB2 Bulbs, 75,000LM 12X Ultra Brighter, 6500K Cool White, Real 1:1 Mini Size, H4 Fog Lights with Cooling Fan, Plug and Play, Pack of 2",B0FT11M5GF,https://www.amazon.com/Termitor-H4-9003-HB2-Brighter/dp/B0FT11M5GF/ref=zg_bsms_g_automotive_d_sccl_2/136-5094779-5527625?psc=1,4.6,832.0,$31.85 (converted),31.85,High,,,,,,,416.0,0.0608538950935608,2025-10-25
3,1,Movers & Shakers in Automotive,Automotive,Automotive,,"Termitor Upgraded H4/9003 Light bulb Hi/Low Beam,50000LM 900% Super Brighter, 6500K Cool White, HB2 Fog Light Bulbs with Cooling Fan, 1:1 Mini Halogen Size, Plug and Play, Pack of 2",B0F9NN8FM2,https://www.amazon.com/Termitor-Upgraded-H4-9003-Brighter/dp/B0F9NN8FM2/ref=zg_bsms_g_automotive_d_sccl_3/136-5094779-5527625?psc=1,4.6,317.0,$39.82 (converted),39.82,High,,,,,,,105.66666666666669,0.0142710724617032,2025-10-25
1,1,Movers & Shakers in Baby,Baby,Baby,,"Yoofoss Hooded Baby Towels for Newborn 2 Pack 100% Muslin Organic Cotton Baby Bath Towel with Hood for Babies, Infant, Toddler and Kids, 32x32Inch, Soft and Absorbent Newborn Essential,Alpaca&Elephant",B0BTHPXGJ2,https://www.amazon.com/Yoofoss-Toddler-32x32Inch-Absorbent-Essential/dp/B0BTHPXGJ2/ref=zg_bsms_g_baby-products_d_sccl_1/136-5094779-5527625?psc=1,4.8,3158.0,$23.90 (converted),23.9,Mid,,,,,,,3158.0,0.4448214809326728,2025-10-25
